Id,title,time,content,replay,all_replay,time,label
352,还有两个跌停，基本到位，如果说投资价值，还应该有八个跌停。,2018/6/22 15:49,还有两个跌停，基本到位，如果说投资价值，还应该有八个跌停。,（1）,"
                            忠言逆耳",2018-06-22  15:52:56,0
353,13元,2018/6/21 11:26,13元,（3）,"
                            下周二 13元以下可以抢一点
                            下周二 13元左右抢一点
                            下周二 13元左右可抄一点底。",2018-06-22  16:03:39,1
354,500万的中兴，完了，全完了,2018/6/21 11:58,大家别抛了,（7）,"
                            完了，完了
                            一边嘲讽乐视一边求救～？ 你这种人活该爆仓
                            
                            还会剩的
                            径直走向 天台的电梯
                            山顶舒服吗
                            ",2018-06-21  23:23:04,1
355,救命啊，大家都不抛就不会跌了，大家都不要抛,2018/6/21 11:57,救命啊，受不了了,（11）,"
                            
                            是融资爆仓后，券商强挂单的，而且都是挂跌停板的
                            都是融资的爆仓了。
                            兄台也是老股民
                            你赚钱时也没听说请客！现在喊救命？？
                            参考锐电保千里就是个样板股票
                            老股民中弹，哎
                            爆仓盘，是必须卖出的，这是与证券公司签了合同的！！
                            
                            
                            不是大家要抛是融资盘爆仓了 劵商跌停再卖，你不会算账吗！给你个建议 好好休息 别看了 能出就出了！希望你没融资 如果融资了也千万别追加担保物 这是个光吃不吐的玩意！",2018-06-21  23:23:27,0
358,大家一起不卖了，估值太低了。,2018/6/22 9:54,大家一起不卖了，估值太低了。,（2）,"
                            对的，现在卖已经没有意义，还是继续吃面吧
                            赞同",2018-06-22  10:42:31,2
359,去年15.9的成本，现在又亏回去了！我就不相信中兴不如一个科大讯飞！,2018/6/22 9:51,我就不相信中兴不如一个科大讯飞！坚守了，,（2）,"
                            太贪心 30多的时候为什么不卖
                            价值投资嘛，看看贵州茅台",2018-06-22  09:54:03,2
369,开板的信号：有连续几百万的大单买入！,2018/6/22 9:48,就是开板的先兆！,（2）,"
                            鸡狗对倒
                            现在已经有10万级的买单出现！",2018-06-22  10:11:09,0
378,T+1卖不出去,2018/6/22 9:53,2,（1）,"
                            还有6个跌停!",2018-06-22  09:59:23,1
381,美国还没和中兴达成真正的和解，入场会亏的一毛不剩,2018/6/22 9:52,美国还没和中兴达成真正的和解，入场会亏的一毛不剩,（1）,"
                            现在美国和中国的贸易战有愈演愈烈之势！",2018-06-22  10:01:56,0
385,还有6个跌停!,2018/6/22 9:53,还有6个跌停!,（2）,"
                            应该还有6个跌停!
                            应该还有6个跌停!",2018-06-22  10:00:41,0
387,罚款10亿美金相当于几年的净利润，别拿2017年净利比较,2018/6/22 9:52,就想算算长算清楚，跟大家比我算赔的少的吧，2015年拿到现在,（3）,"
                            罚款8.92亿+10亿美元，加4亿押金，未来会不会继续罚款还是未知数
                            2015年买，今年不卖，不是傻就是贪。
                            最重要的是，你根本不知道未来他会怎样？",2018-06-22  09:57:26,0
391,去年15.9买的一直没走，现在又亏回去了，怎么办！！,2018/6/22 9:48,去年15.9买的一直没走，现在又亏回去了，怎么办！！,（2）,"
                            太贪，怨不得
                            大部分散户都和你一样，开板千万别补仓，如果能割肉最好开板就割。这股没个3-5年元气大伤补补回来，至少再下2个台阶。",2018-06-22  10:34:07,0
392,抄底的壮士，你们还好吗,2018/6/22 9:47,抄底的壮士，你们还好吗,（1）,"
                            我准备追加",2018-06-22  09:52:42,1
395,准备索赔诉讼,2018/6/22 10:02,准备索赔诉讼,（6）,"
                            公司违规经营，可以提起诉讼索赔！
                            
                            
                            
                            自查发现问题必须公告，因为按和解协议，美国是可以激活禁令的。
                            [[赞]",2018-06-22  10:06:30,0
401,起码还有4个跌停,2018/6/22 9:58,起码还有4个跌停,（1）,"
                            应该还有6个跌停!",2018-06-22  10:01:17,0
403,中兴平仓线在哪？,2018/6/22 9:59,中兴通讯17年的财务报表中的资产负债比率在68%，有平仓线吗？如果有那平仓线在哪？,（3）,"
                            那得看你什么价格融资买入的
                            现在平仓没用，因为卖不出去啊！
                            我是说中兴公司有没有股权质押融资的，这些质押的股票平仓线在哪？不知道怎么查",2018-06-22  10:04:47,0
407,卖掉啦，哈哈哈哈,2018/6/22 9:57,卖掉啦，哈哈哈哈,（3）,"
                            跌停怎么卖掉
                            怎么卖掉的？
                            不可能,大户都卖不掉,小散不可能卖掉,别瞎吹了,骗无知者还行。",2018-06-22  10:00:15,0
409,马上突破昨天成交量,2018/6/22 9:59,马上突破昨天成交量,（1）,"
                            厉害了，我准备操底了",2018-06-22  10:09:00,2
412,股民要承担的风险可真不少，要为任何事买单？？？这个时候，应该由企业或者更高层的资,2018/6/22 9:58,股民要承担的风险可真不少，要为任何事买单？？？这个时候，应该由企业或者更高层的资金托一下，挽回企业一点信誉，放股民一条活路，至少给股民们留一碗面的钱，关灯吃,（1）,"
                            看看中国的高科技，真可怜，看看这些国企，最后坑的是老百姓",2018-06-22  10:10:54,1
431,应该还有6个跌停!,2018/6/22 10:00,应该还有6个跌停!,（3）,"
                            
                            
                            ",2018-06-22  10:06:18,0
432,有卖出去的吗？,2018/6/22 9:58,有卖出去的吗？,（4）,"
                            没
                            没
                            我买进去了，兄弟姐妹别慌，不要跌停卖
                            想都没想过，跑出去和买彩票几率差不多，封死的",2018-06-22  10:05:56,0
433,我一个做保险的朋友去年3月份进场，刚开始17元左右买了1000股，后来陆陆续续加,2018/6/16 19:04,我一个做保险的朋友去年3月份进场，刚开始17元左右买了1000股，后来陆陆续续加仓总共买了2600股，成本18.5元左右，两次冲至40元左右都没卖，现在欲哭无泪，估计能平盘出来就不错了，拿了一年，竹蓝打水一场空，真是人生无常，世事难料。,（107）,"
                            不多
                            又不是自己的钱，国企，管他呢。
                            还好，亏了不多，我都亏一辆宝马了
                            这个市场处处是地雷，不能进去，现在出不来
                            18是出不来了，估计要15，港股都跌这么多了
                            几万块掉进水都不起浪花
                            所以人不能太贪，都已经翻倍了还不出想怎样？15左右应该是能出来的吧，那也亏了，估计会很长时间都处于悔恨之中。
                            多雷的股市，一不小心就踩雷。
                            2600还哭?那26000的呢？
                            现在做保险的很多也赚不到什么钱的，就想着在股市里赚一点，想不到偷鸡不成蚀把米。
                            你算运气好了起码还没亏本
                            关健是每个人总资产不一样，10万亏5万跟100万亏50万不一样的。
                            2600股还欲哭无泪，太没气概了吧！
                            现在不亏估计开板时就亏了。
                            每个人心理承受能力都不一样的。
                            韭菜满满的祸得感
                            一般涨超百分之30都要阶段卖出了，翻一倍多了还拿得住胆子真大
                            十八块以上会打开,同情,出来换股吧.
                            听信别人说上市公司中5G最大受益股，会上60，贪心不足蛇吞象。
                            比老夫好,老夫5块买的600077一年多了还不解套
                            17会打开
                            至少还有2-3个跌停板
                            我是第一次被制裁走出来的！以为公司不见了几十亿会跌，殊不知却涨了两倍！这次以为又来假的，却不知竟来真的了！真是世事难料啊！
                            港股跌了48%，A股才跌28%。放心，至少还有两个跌停板！
                            八万块钱，不多
                            是啊，第一次那时交罚款被人认为重大利好狂拉翻倍，原来是放长线钓大鱼。
                            数家机构将中兴通讯的估价调低知15元，按此18.5一定会套，不过套的不深而且才26手，不必放心上
                            嗯，这种软骨头汗坚股，有机会出了真别再回头了。
                            好乐观哦
                            未必跟港股，A股涨时比港股涨得高，跌时比港股跌得深，如果果家队出来托底，估计最多6个跌停，不救，8个跑不了。",2018-06-16  19:55:27,0
434,爆了我一个，幸福全人类,2018/6/22 15:23,再三个跌停我就爆仓了，加油,（2）,"
                            
                            别怕兄弟最坏情况还有两板，记得开板那天出一半。",2018-06-22  15:27:42,0
435,系统风险来临。29.36 退出看戏。如果中美 持续恶化20以下吧,2018/4/9 10:31,2月份 29.17进的 平出看戏，中美贸易战有升级的可能，是天地级的大战，远超神仙打架。中兴离了美国的芯片还真不行。 电子信息 通讯 是重灾区。暂时远离。这次中国人民币全球化，石油美元， 军事力量的突飞猛进，威胁到美国的核心霸权利益，有不断升级的可能。,（25）,"
                            送你上去
                            4月九日 系统风险来临。29.36 退出看戏 不幸 言中
                            高手
                            楼主高人
                            顶
                            高人呢我怎么早就没看到你的信息呢
                            看到你也不信，还会骂我 呵呵
                            国人当自强，我的中国心，不能光在嘴上唱。
                            出现转机，应该今日复牌，顶多两个跌停就有抄底拉起。
                            还想跌停？呵呵
                            中兴 梅拉下文 尼娅
                            不是小散们看不到，而是一旦有什么真知灼见的贴子，马上会被监控到，五毛们就会拼命刷贴，把好贴沉到底下去。
                            完全没有底线
                            20以下了
                            真知灼见
                            厉害了
                            又回到了17年的低点 一年时间恍若隔世，天堂地狱也不过如此吧。
                            佩服，致敬
                            高手
                            确实牛！！！
                            
                            楼主买了没有?
                            在这里几年，唯一个股神
                            楼主远见
                            下周一 16年低点 一秒抵消了一年的涨幅。应该开板了。要不是质押平仓盘 去杠杆的资金出逃 信托资金出逃 散户出逃造成的踩踏，早应该开了 ，这次中兴点子太背了。毛衣站 去杠杆 信托资金不计成本出逃 大盘破位3000都是落井下石，市场严重缺资金。怀念翔哥，你在里面 还好吧。如果翔哥在 又是经典一战",2018-04-17  08:47:30,0
436,7.60元拟打算建仓000063中兴通讯！,2018/6/22 10:30,现在仍以观望为主！7.60元拟打算建仓000063中兴通讯！,（11）,"
                            中长线来说，7.00元应该可以见到，加上盘子也很大，开板之日就是出货之时！
                            现在仍以观望为主！
                            1元军团，2元军团，3元军团不断发展壮大
                            开板也是最好的逃命机会！虽然有反弹，但反弹力度不是很大，反弹之后仍是一地鸡毛！
                            开板也是看谁跑得快！
                            你妈没把你卖到青楼去吗？那赚钱快，去吧，薄利多销
                            7元不可能，净资产每股都是多少。
                            预计下周二可能开板，虽有反弹，但总的趋势仍将向下！7.00元附近可以考虑建仓低吸！
                            开板只是下跌中继的判断是对的，敢数跌停买的也不会是新手！低点就不用去判断了，十猜九不准。
                            12元左右开板，不可能到7元，除非真的禁售7年，那样到2元也是有可能的。
                            不好意思 轮不到你，我8元先接了。",2018-06-22  10:37:56,2
437,经历过保千里的路过[哭],2018/6/22 15:57,经历过保千里的路过,（1）,"
                            尤夫，华泽，保千里等20多个连续跌停",2018-06-22  16:05:40,1
439,50w亏了一半，好心碎,2018/6/22 15:29,50w亏了一半，好心碎,（3）,"
                            都心碎
                            加油会回来的
                            国家会记住你的",2018-06-22  16:00:23,0
440,有没有比我亏得多的？,2018/6/22 15:58,有没有比我亏得多的？,（1）,"
                            你亏多少",2018-06-22  15:59:52,0
446,12.55开板,2018/6/22 10:11,12.55开板,（1）,"
                            还有二跌",2018-06-22  10:33:24,2
452,"欲哭无泪啊,悲惨.",2018/6/22 10:16,貌似只有装死一条路了.,（1）,"
                            哎，保重啊",2018-06-22  10:24:51,0
457,乐视网跌近13板，大家心齐4.12涨到6.77元。,2018/6/22 15:41,再跌二板12.13元，也涨60%，即19.41元，有钱的周一开始补仓，周二重仓，半个月就能回本！,（2）,"
                            大陆股民恐慌度远胜香港。这就是T+0卖不出造成的助跌！港股第一天下跌41%换手30%，有近三分一股民逃出，不再受后面30%的损失，而大陆连跌，每天成交不到0.1个点，散户绝打多数一直套到最后，损失远比港民多！
                            二十几个跌停的没见过吗？002427，000693，600074，这些二十几个跌停都没停牌，也没人上诉得了，你们只是毛毛细雨，庄家才是巨亏",2018-06-22  15:51:12,2
467,此货封单太大没人敢撬，没有此股但在关注中。一但封单变小便可快速杀入搏下短线反弹！,2018/6/22 15:51,此货封单太大没人敢撬，没有此股但在关注中。一但封单变小便可快速杀入搏下短线反弹！,（3）,"
                            估计此货下周开板都难。
                            此货估计下周开板都难
                            好多账户强制平仓",2018-06-23  11:32:56,2
468,现在平不了仓的，只有等开板再说！,2018/6/22 10:12,即使到了平仓线，也无法平！因为卖不出去！,（1）,"
                            大概需要7个跌停板才能开",2018-06-22  10:25:21,0
470,港币兑人民币是0.8278，港股实际价格是9块人民币，A股实际价格是18元港币，,2018/6/22 10:11,港币兑人民币是0.8278，港股实际价格是9块人民币，A股实际价格是18元港币，对照港股差距40%，9元才是目前低价，A股四十亿融资盘这才跑了多少，买你算我命苦,（1）,"
                            买了这票确实停倒霉的，我倒是没买这票，可是在股灾时被国家救市忽悠进来的，我的两只票都亏损了百分之六十左右，太他娘的坑人了，等回本不能玩了",2018-06-22  10:21:20,0
471,中兴通讯以目前400万手卖单而言，约还有五个跌停板，开板价格约为10元附近。到时,2018/6/22 15:43,中兴通讯以目前400万手卖单而言，约还有五个跌停板，开板价格约为10元附近。到时候一定会有大批游资进场抄底！,（1）,"
                            尼玛会算帐不？今天收盘价再5个跌停还能有10元？",2018-06-22  15:51:12,0
474,96年用的第一部小灵通，就是你生产的，你辉煌22年后，我买的最后一只股票也是你，,2018/6/22 11:02,96年用的第一部小灵通，就是你生产的，你辉煌22年后，我买的最后一只股票也是你，眼睁睁看着你，无能为力,（6）,"
                            找到这部小灵通，静静的睡去
                            其实他只是搬运工，义乌的壳子美国的芯片主板，OMG
                            我是2000年买的小灵通
                            年
                            壳子：义乌电池：深圳屏幕：台湾内存：美国主板：美国芯片：美国....: 美国
                            你还没套够，是组装不是生产，",2018-06-22  11:57:46,0
476,深港通资金在买入中兴通讯,2018/6/22 10:30,深港通资金在买入中兴通讯,（1）,"
                            那我怎么买不出去？老外赶紧把我这点股买了吧",2018-06-22  15:51:05,2
478,前七个板大家还能接受，预料之中，从下周开始，每多一天跌停，就有人疯了。,2018/6/22 12:41,前七个板大家还能接受，预料之中，从下周开始，每多一天跌停，就有人疯了。,（2）,"
                            很多正常的票都跌了50%+，这个票至少要跌90%，也就是到4元左右！
                            二十几个跌停的没见过吗？002427，000693，600074，这些二十几个跌停都没停牌，也没人上诉得了，你们只是毛毛细雨，庄家才是巨亏",2018-06-22  15:48:04,0
479,跌惨了，老婆怕我拿她去卖，跑了[哭][哭][哭],2018/6/22 14:53,跌惨了，老婆怕我拿她去卖，跑了,（1）,"
                            ",2018-06-22  15:45:36,0
480,我哥哥章建平破产了[哭][哭][哭][哭],2018/6/15 16:45,我哥哥章建平破产了,（4）,"
                            活该，套死你哥哥，你再找个小白脸。
                            章建平真是你哥，破产了也正常，反正都是割的散户的韭菜，现在就当还账
                            5个板停不下来
                            等跌破四元可关注",2018-06-15  16:49:16,0
481,看下优夫跟富空。你们心里会好受点[好困惑],2018/6/22 13:01,看下优夫跟富空。你们心里会好受点,（1）,"
                            你是来泼凉水的，看了富控，20到开板10元，再不断下跌到2块6。按照这思路，开板买进就是找死，还能跌7成。",2018-06-22  15:42:46,0
485,参考港股，25跌到10块，等于打个四折，a股应该还有两个跌停，到12左右开板后弱,2018/6/22 10:31,参考港股，25跌到10块，等于打个四折，a股应该还有两个跌停，到12左右开板后弱反弹两天，然后阴跌。开板后并不建议追入，很多大可能开板当天收跌三五个点，散户以为小有收获。结果第二天又来个一字跌停。,（3）,"
                            傻逼，港股12块多拉
                            净资产7块多的股票 还说四折 搞不懂是骗傻子 还是自个是傻子
                            一小波反弹，还会一路阴跌，个人认为12",2018-06-22  10:36:54,0
487,因为融资的平仓目前无法卖出 ，估计一旦打开跌停板,2018/6/22 15:33,估计一旦打开跌停板，成交量可能会吓人,（1）,"
                            如后期退市，只是假设啊，一杆子捅到底，也不需要放大量，毕竟熊市。",2018-06-22  15:41:41,2
492,H股又大涨了！,2018/6/22 10:16,开板在即1,（1）,"
                            你以为是A股啊，涨1%就是大涨！",2018-06-22  15:45:01,2
494,坚持住，下周五前一定开板，,2018/6/22 15:28,坚持住，下周五前一定开板，,（1）,"
                            预测12元左右开板",2018-06-22  15:47:30,2
495,各位报一下成本价,2018/6/22 10:27,我第一次买入价格是40.8元，32元补仓了一点，成本降到40.10元（此时合计持股25000股）。后来跌破30元，全仓融资买入（融资543868.8元，融资买入15000股），总成本降到36.2元。当中兴通讯复盘后，第四个跌停板（20.54元）时，证券公司电话打个不停，催我补充保证金，好不容易通过向亲戚、同学借了20万，补充进去。到今天担保比率陈1.469了，很快又要补充担保金了，各位老师：我该怎么办？,（11）,"
                            36的成本路过
                            真的假的？价格不低还融资这么多
                            不要编了
                            哎，都是血汗钱。我也赔八万了
                            没办法，再补
                            编
                            一身肥肉被割成了骷髅。
                            无底洞，让它爆好了，亏肯定是亏定了
                            只能继续补
                            全仓融资的都是赌徒
                            融资只能在牛市用,现在融资无疑是自杀",2018-06-22  10:33:44,0
498,封住的不再全部是大单了。小单也可以跑了。不过还是有很多10000手，10万股的单,2018/6/22 10:18,封住的不再全部是大单了。小单也可以跑了。不过还是有很多10000手，10万股的单子。,（3）,"
                            翘开算了下需要59亿
                            挂大单卖的很少拉
                            估计这个价格不肯卖了",2018-06-22  10:25:37,1
507,今天下午应该能开板了,2018/6/22 10:19,今天下午应该能开板了,（12）,"
                            港股涨了5个点
                            看大盘和港股配合不了
                            脑子有问题
                            目前的封单60亿才能开板，开板后拉升至少要耗100亿。目前的市场有这么多玩这票吗
                            盼完今天在盼明天，什么时候开天知道。
                            楼主你想想大家疯狂买的时候，谁还会挂跌停。会瞬间扯单的
                            港股是诱多A股
                            如果是机构的封单，他们撤单就可以开板了，估计单一机构胆子没这么大
                            现在再贱卖有意义吗？
                            谁还敢碰这票票啊？
                            傻逼才碰这个票
                            明天开周一",2018-06-22  10:24:16,1
509,有没有踩到雷的朋友？这辈子还能不能回本？[哭][哭][哭][哭][哭][哭][哭,2018/6/22 10:30,有没有踩到雷的朋友？这辈子还能不能回本？,（1）,"
                            大把，有三万个",2018-06-22  10:36:55,0
510,只要人才技术在，瘦死的骆驼比马大，很快会东山再起！,2018/6/22 10:32,,（1）,"
                            先活下来再说",2018-06-22  10:34:58,1
514,10元附近止跌,2018/6/22 10:19,10元附近止跌,（1）,"
                            就是对也还得3个板",2018-06-22  10:25:09,2
515,未来5G的最大受益者，现在价格底部，什么时候有这样拿筹码的机会啊,2018/6/22 10:29,未来5G的最大受益者，现在价格底部，什么时候有这样拿筹码的机会啊,（8）,"
                            未来事你也知道啊，看来前阵子在41的时候，你已经清仓了，可惜你那时候应该在股吧里喊一下，“未来”中兴要向下连续板。
                            中兴是没希望了，已经不算5g龙头，不要再误导人
                            什么时候有自己的芯片，什么时候买
                            今天进了145手，现在正在看是否全仓下去，抢个拉20%的大板
                            呵呵，有心吗
                            每个第二天都有拿筹码的机会。
                            那还得20年以后，炒股是超未来，等芯片出来了，还有你我难道有机会抄底啊。机构早就扑上去了
                            做个记号先，我不看多也不看空，中兴通讯涨跌关我鸟事，我只是来看热闹的。",2018-06-22  10:39:18,2
520,再跌一块钱应该差不多了吧。,2018/6/22 10:33,再跌一块钱应该差不多了吧。,（1）,"
                            最低9快",2018-06-22  15:41:36,0
521,有两个巨无霸可以作参考，一个是万科，当年的事大家都知道的，出来后也是几个跌停，不,2018/6/21 21:26,有两个巨无霸可以作参考，一个是万科，当年的事大家都知道的，出来后也是几个跌停，不过跌的不多，在开板前一天先在尾盘偷袭放量不翘板，第二天开板过山车放巨量。另一个是乐视，这个大家更知道，也是开板前放量不翘板，第二天跌停开板撬开，近乎地天板，后面调整了几天反弹百分之五十。中兴通讯也算巨无霸了，里面的融资盘不可小觑。而且现在市场没钱啊。这个很重要。,（7）,"
                            虽说明天的跌停板价格相对跌幅和港股的差不多，但是融资盘是一个变数。那边涨跌幅不算，风险可以快速释放，这一边只怕需要点时间消化。
                            性质不一样的 别去踩雷
                            追加钱，才能通路。
                            千万别幻想奇迹发生，当年重庆啤酒80多元高位跳水，10几年再没有上去
                            很多融资盘自动卖出，不是能控制的。除非有足够的资金吃下来，不然就是个跌。
                            我也听说过，据说吃面这词就是那时候有的。
                            资金啊，现在缺的就是他。",2018-06-21  22:30:42,2
525,还有1,2018/6/22 11:08,还有1-2和跌停,（1）,"
                            3个，到10元左右",2018-06-22  11:18:48,0
529,怎么还挂跌停板啊，应该停啦，够啦！,2018/6/22 11:09,怎么还挂跌停板啊，应该停啦，够啦！,（3）,"
                            都是爆仓盘，证券公司挂出来的卖单。
                            再忍忍，第九个就开板了
                            二十几个跌停的没见过吗？002427，000693，600074，这些二十几个跌停都没停牌，也没人上诉得了，你们只是毛毛细雨，庄家才是巨亏",2018-06-22  11:28:06,0
531,回购,2018/6/22 11:05,公司怎么不回购股票,（2）,"
                            钱都不够罚款了 还回购
                            钱都被罚没了……",2018-06-22  11:18:03,0
533,狗卵子庄家,2018/6/22 11:05,1,（2）,"
                            你真心不适合炒股，庄股时代结束10几年了，你还庄啊庄的活在自己的梦里。。。
                            2002年中科创业案最大的历史意味在于宣告中国股市庄股时代结束。",2018-06-22  11:24:34,1
535,看这样封单至少还有4个到5个板才会打开,2018/6/22 10:34,看这样封单至少还有4个到5个板才会打开,（2）,"
                            这么大鸭蛋 天天10多个跌跌停板 谁会要这个烂股的跌停板
                            封单在打开前，会疯狂的撤掉。看着要赚钱了，谁还会挂跌停呢。好好学习吧",2018-06-22  10:39:25,0
536,快解脱了，最多还有两个停,2018/6/22 15:34,准备小草一把，不敢大玩,（1）,"
                            傻逼！你还玩闪崩！？",2018-06-22  20:25:24,2
538,大家都撤单就可以开版了,2018/6/22 11:06,大家都撤单就可以开版了,（1）,"
                            都是融资爆仓盘 人家也不想挂单 爆仓了没办法。",2018-06-22  11:50:39,0
540,窗口可以指导一下，把压单撤掉吗？,2018/6/22 10:52,窗口可以指导一下，把压单撤掉吗？,（3）,"
                            窗口指导不了散户……
                            不抛才傻逼，昨天终于抛了1万股，亏了15万
                            都是散户的割肉盘！！",2018-06-22  10:59:22,0
560,现在住深圳，就是为了可以快速通道挂跌停板卖出，惨啊没有人买,2018/6/22 10:36,现在住深圳，就是为了可以快速通道挂跌停板卖出，惨啊没有人买,（1）,"
                            应该搬去深交所旁试试",2018-06-22  10:44:59,0
561,价格应该会跌到12.2左右,2018/6/22 10:37,价格应该会跌到12.2左右,（1）,"
                            就值8元左右",2018-06-22  11:06:30,0
562,融资爆亏，融券爆赚，冻火两重天。还有27亿的融资盘，有被强平的可能，恐怖……,2018/6/22 12:01,融资爆亏，融券爆赚，冻火两重天。还有27亿的融资盘，有被强平的可能，恐怖……,（1）,"
                            7个板了 还是可能？？？呵呵看着今天尾盘有人抢 就觉得滑稽。。。",2018-06-22  15:29:03,0
563,谁能告诉我，明知道打不开为什么有这么多人买？,2018/6/22 14:56,谁能告诉我，明知道打不开为什么有这么多人买？,（10）,"
                            超跌拉，全球第四大，不是谁都可以做的。星期一必开
                            因为下一个交易日要高开
                            机构在买自己的挂单
                            因为那些都是沙比
                            说对了，乐视天天吹牛，还好没吹到全球。中兴通讯埋头做事，现在禁令解除，恢复生产就正常了。世界电信第四不是盖的，虽然芯片是别人的，慢慢发展就好了。
                            都没人买，你炒的什么股，这都看不懂，就算一个小散不买，也是有这种成交量的，唉，难怪你可以被套在高价上。
                            挂单是忽悠给你看的，随时可以撤。刚刚大户吸货50万
                            肯定有爆仓割肉的按照H股比价 这个价格应该合理了
                            因为总有僧口撒必
                            数数第几个板 爆仓单",2018-06-22  15:01:02,0
564,大家说说 都亏了几万了,2018/6/22 11:25,,（18）,"
                            10万
                            16万
                            60万了
                            五万
                            59万多了
                             89
                            几千块吧
                            10
                            还有百分十三盈利
                            一个亿，吃了六个版，亏多少？
                            80
                            6
                            一分钱都不会亏,毕竟那一个亿是你靠自己本事想象出来的
                            也就亏个几百万吧.不过我一点都不心疼毕竟这几百万,是我想象出来的
                            一年工资喂狗了
                            亏多少说出来没有意义了
                            100亿
                            91万多了",2018-06-22  11:35:05,1
